+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /fonts/glyphicons-halflings-regular.svg             | 0.000 |  0.004 |   0.005 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 | 108738.000 | 108738.000 | 11091276.000 | 108738.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /js/chat.js                                         | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |   4162.000 |   4162.000 |   424524.000 |   4162.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /fonts/glyphicons-halflings-regular.woff2           | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  18028.000 |  18028.000 |  1838856.000 |  18028.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /fonts/glyphicons-halflings-regular.woff            | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  23424.000 |  23424.000 |  2389248.000 |  23424.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /favicon.ico                                        | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |    318.000 |    318.000 |    32436.000 |    318.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /fonts/glyphicons-halflings-regular.ttf             | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  45404.000 |  45404.000 |  4631208.000 |  45404.000 |
|    93 |   0 |   0 |  91 |   2 |   0 | POST   | /add_channel                                        | 0.004 |  0.028 |   1.029 | 0.011 | 0.011 |  0.008 |  0.009 |  0.004 |      0.000 |      0.000 |        0.000 |      0.000 |
|    48 |   0 |   2 |   0 |  46 |   0 | POST   | /message                                            | 0.015 |  3.006 | 122.584 | 2.554 | 0.015 |  3.001 |  0.181 |  0.999 |      0.000 |      0.000 |        0.000 |      0.000 |
|    41 |   0 |  41 |   0 |   0 |   0 | GET    | /channel/338                                        | 0.042 |  4.618 |  65.643 | 1.601 | 0.458 |  1.258 |  0.531 |  1.606 |  26104.000 |  26129.000 |  1070767.000 |  26116.268 |
|    20 |   0 |  20 |   0 |   0 |   0 | GET    | /channel/352                                        | 0.279 |  1.115 |  12.614 | 0.631 | 0.279 |  0.584 |  0.963 |  0.228 |  26107.000 |  26119.000 |   522282.000 |  26114.100 |
|    19 |   0 |   9 |   0 |  10 |   0 | GET    | /icons/3f6591acbf1577185cd7c674f0ec36efcc9c4970.png | 5.180 | 10.011 | 163.798 | 8.621 | 5.180 |  8.976 | 10.000 |  1.729 |      0.000 | 252111.000 |  2268999.000 | 119421.000 |
|    10 |   0 |  10 |   0 |   0 |   0 | GET    | /channel/357                                        | 3.172 |  4.682 |  39.643 | 3.964 | 3.172 |  4.162 |  4.361 |  0.517 |  26108.000 |  26118.000 |   261133.000 |  26113.300 |
|    10 |   0 |  10 |   0 |   0 |   0 | GET    | /channel/339                                        | 1.602 |  2.105 |  18.472 | 1.847 | 1.602 |  1.879 |  2.013 |  0.162 |  26117.000 |  26123.000 |   261195.000 |  26119.500 |
